country_id,country_name,powerplant_name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel_id,primary_fuel,source,url,geolocation_source,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
1,Australia,Meekatharra,AUS0000408,29,-26.5952,118.4830,6,Oil,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,7711944444444440,7876666666666670,6495,7738611111111110,7638055555555560
1,Australia,Mica Creek,AUS0000446,3250,-20.7777,139.4905,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,17762222222222200,15707702777777800,6434019444444440,19722666666666700,5021944444444440
1,Australia,Millmerran,AUS0000163,8560,-27.9615,151.2789,5,Coal,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,707706,66689158333333300,6629263888888890,6653693333333330,66085569444444400
1,Australia,Mintaro,AUS0000249,900,-33.9031,138.7383,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,12274444444444400,7968055555555560,7133611111111110,13053333333333300,29628611111111100
1,Australia,Moranbah,AUS0000164,1256,-21.9851,148.0246,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,67695,6663305555555560,23031111111111100,3630361111111110,8345416666666670
1,Australia,Moranbah North,AUS0000054,457,-21.8967,147.9507,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,3218525,3176022222222220,4394063888888890,4662394444444440,4902294444444440
1,Australia,Mornington,AUS0000093,10,-38.3916,144.8553,3,Waste,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,43180555555555600,5294444444444440,5711111111111110,6322777777777780,6338055555555560
1,Australia,Mortlake,AUS0000108,5660,-38.0632,142.6675,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,1709266111111110,16734494444444400,11634769444444400,4870838888888890,11029175
1,Australia,Mortons Lane Wind Farm,AUS0000492,200,-37.8413,142.4653,1,Wind,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,3320027777777780,6894027777777780,62304722222222200,61166666666666700,60945277777777800
1,Australia,Mount Keith Nickel Mine,AUS0000213,1120,-27.2146,120.5480,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,3869952777777780,35573805555555600,30724055555555600,3389313888888890,3780163888888890
1,Australia,Mount Magnet,AUS0000207,19,-28.0871,117.8327,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,46883333333333300,4490833333333330,34497222222222200,4084722222222220,38783333333333300
1,Australia,Mount Stuart,AUS0000165,4230,-19.3380,146.8512,6,Oil,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,5684444444444440,12932222222222200,30820833333333300,5493416666666670,7340777777777780
1,Australia,Mt Piper,AUS0000281,14000,-33.3589,150.0313,5,Coal,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,91110475,943606388888889,6282647222222220,7259195555555560,75576033333333300
1,Australia,Mugga Lane,AUS0000034,35,-35.3953,149.1458,3,Waste,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2535472222222220,23904166666666700,22063055555555600,22462777777777800,24575277777777800
1,Australia,Mungarra,AUS0000216,1120,-28.8893,115.1177,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,13391166666666700,9800055555555560,9689,18198333333333300,13261944444444400
1,Australia,Neerabup,AUS0000198,3300,-31.6712,115.8021,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,36310833333333300,7847916666666670,12481138888888900,11279555555555600,16624055555555600
1,Australia,Newman Iron Ore Mine,AUS0000199,1700,-23.3443,119.7086,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,5677341666666670,5554222222222220,231335,12198944444444400,1871486111111110
1,Australia,Newport,AUS0000094,5000,-37.8415,144.8942,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,185345,21915694444444400,9524805555555560,33232194444444400,3222108333333330
1,Australia,Norseman Mine,AUS0000320,90,-32.1963,121.7943,6,Oil,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2785527777777780,1633888888888890,1414611111111110,15068055555555600,8275833333333330
1,Australia,North Brown Hill  Wind Farm,AUS0000024,1323,-33.3093,138.7296,1,Wind,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,4256411111111110,4843258333333330,42880944444444400,4572552777777780,39584
1,Australia,Oakey,AUS0000166,2820,-27.4184,151.6798,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,274475,5774055555555550,4991413888888890,5202791666666670,133205
1,Australia,Oakland Hills Wind Farm,AUS0000016,670,-37.6871,142.5467,1,Wind,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,14974555555555600,1688372222222220,14626083333333300,167865,17018166666666700
1,Australia,Ord River,AUS0000224,300,-16.1201,128.7383,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2213347222222220,20543277777777800,20613972222222200,21672222222222200,21262194444444400
1,Australia,Osborne,AUS0000235,1800,-34.7980,138.5079,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,13506038888888900,1455608611111110,0,11840425,9669333333333330
1,Australia,Owen Springs,AUS0000255,360,-23.8636,133.8255,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,6274722222222220,5336611111111110,7960305555555560,9204416666666670,8523277777777780
